"","x"
"1","pearly pebbles boxes courts allison"
"2","time ottawa man good made"
"3","aubyn loo aunt stamer lizzie"
"4","horner reserve agents piano pianos"
"5","brownlee elliott armstrong hodgins graham"
"6","courts courses fred sinclair henault"
"7","lauraine norris keith jean francis"
"8","mabel horn winthrop madam martha"
"9","treasure wolves holmes sholto bolam"
"10","coun moved mayor council seconded"
"11","toronto cure pills pink cured"
"12","chinese troops army japanese soldiers"
"13","god christ jesus heaven text"
"14","annie rose jimmie tom widow"
"15","clara bowser aleshine leeks harold"
"16","rachel richard basil carrie inglefleld"
"17","despatch prince naval captain bismarck"
"18","add sugar water milk cup"
"19","sealing volcanic schooners lava substance"
"20","sept harvest sickle kootenay rig"
"21","baker walter tile metal cocoas"
"22","courts cowan hides p.q buckwheat"
"23","road roads tiger surface stone"
"24","grade armstrong wilson equal mary"
"25","holmes faune ostrom frank solomon"
"26","tariff hon country trade policy"
"27","hie prices canada stock goods"
"28","ruth wellington michael lindsay chevalier"
"29","dreams dream pyramid coral deft"
"30","hester helen alice meg typhoid"
"31","elsie von aunt moritz frau"
"32","milk soil cows dairy feeding"
"33","birds bird dust asylums nest"
"34","tho dental o'meara subscribers compounded"
"35","yard cyril lord aud québec"
"36","mrs lie john shawville office"
"37","dental veterinary operations specialty diseases"
"38","face mother father heart eyes"
"39","april cabin hector woollen paint"
"40","brain herds harness bacteria tuberculosis"
"41","july furniture pullman picnic lawn"
"42","witness murray money election told"
"43","terry andy trefusis kidney buds"
"44","christmas xmas dec hetty admission"
"45","haldane honoria convicts millington barlow"
"46","county murray mercier government meeting"
"47","feb wire deacon drama current"
"48","nov boots clothing overcoats rubbers"
"49","loss apply ashes symptoms peculiar"
"50","left put ami hut half"
