,x
1,church temperance city sold society
2,chinese shot dead exhibition dry
3,general owing board till officers
4,train ward lake car sundays
5,lord year british road decided
6,rattray cobden large fort remains
7,loan royal orders kiel russia
8,burned fire destroyed ten tire
9,university long aylmer sir cambridge
10,farmers named tariff england hundred
11,occasion reported miss brought end
12,committed charge dollars arrested received
13,week till money agent franco
14,ladies past pretty parliament chamber
15,sunday school service prayer church
16,day held monday council meeting
17,device ice monster worthy government
18,ridge december country bristol opening
19,express renfrew town despatch diphtheria
20,hon foster funeral moved seconded
21,strikers male dead head judge
22,sister march shortly sleigh load
23,george inspector william waa immediately
24,widow medcof things family age
25,days spent mrs miss queen
26,arrested charged gray henry protection
27,team waggon mail feet made
28,thursday office publication issued ville
29,sre bad hubbell stewart town
30,day railway exhibition pontiac november
31,high nesday court wed christmas
32,gave quantity country sundays birth
33,township sunday horse catharines gale
34,yesterday british congre member leaving
35,saturday friday thursday day wednesday
36,william thureday named whelan joseph
37,july bay jan campbells forty
38,monday randolph churchill family tenth
39,chicago liverpool route york miles
40,united states canada meeting held
41,city men brooklyn mayor expressed
42,wednesday legislature government dominion manitoba
43,ontario independent command elected house
44,toronto recovered england body long
45,england leave open wood rag
46,present celebrated birthday giving presents
47,meeting held sunday largely attended
48,hours open sundays carnival free
49,trial heart failure jury defence
50,company railway saturday government brooklyn
